year,accuracy,f1_macro
2013,0.8358778625954199,0.1342734518700184
2014,0.6081912878787878,0.21484261974783472
2015,0.6259939280034698,0.23483325403364486
2016,0.6555112881806109,0.27259851378362615
2017,0.6536353671903544,0.28356411926805497
2018,0.6646628594329226,0.27694642930737434
2019,0.6894654088050315,0.2747334680200336
2020,0.693253929512838,0.2605837816410077
2021,0.7595451527224436,0.24626304644659172
2022,0.7471581122976232,0.2381085383045476
